event_id,event_size_s,cpu_fraction,gpu_fraction,cpu_work_s,gpu_work_s,cpu_matrix_size,gpu_matrix_size,gpu_memory_mb,h2d_mb,d2h_mb,num_cpus,num_gpus,stage,gpu_async,start_time,end_time,runtime_s,cpu_start_time,cpu_end_time,cpu_runtime_s,gpu_start_time,gpu_end_time,gpu_runtime_s,merge_start_time,merge_end_time,merge_runtime_s,start_offset_s,end_offset_s
0,2.9257195226466877,0.6879061233490639,0.31209387665093613,2.0126203748305564,0.9130991478161311,726,1956,166,19,4,1.0,1.0,event,False,2016667.892571888,2016671.890729087,3.9981571990065277,2016667.892571888,2016669.923028426,2.0304565380793065,2016670.963973676,2016671.879516225,0.9155425489880145,2016671.880534174,2016671.890729087,0.010194913018494844,3.074388951063156e-05,3.9981879428960383
1,2.0419466603639473,0.35929446477665666,0.6407055352233433,0.733660132437946,1.3082865279260012,438,2342,333,27,6,1.0,1.0,event,False,2016671.890818195,2016673.960212222,2.069394027115777,2016671.890818195,2016672.624534856,0.7337166611105204,2016672.63764551,2016673.94926912,1.3116236100904644,2016673.950142127,2016673.960212222,0.010070095071569085,3.998277050908655,6.067671078024432
2,2.3171527976758006,0.5791075973608366,0.4208924026391634,1.3418807893799736,0.9752720082958269,593,2022,139,20,5,1.0,1.0,event,False,2016673.960296582,2016676.310893402,2.3505968200042844,2016673.960296582,2016675.302435243,1.3421386610716581,2016675.321769781,2016676.299959579,0.9781897980719805,2016676.300678273,2016676.310893402,0.010215129004791379,6.067755437921733,8.418352257926017
3,3.97322354640819,0.5600570524333142,0.43994294756668584,2.22523186806001,1.74799167834818,763,2707,334,37,9,1.0,1.0,event,False,2016676.310971521,2016680.33856168,4.0275901588611305,2016676.310971521,2016678.53656882,2.2255972989369184,2016678.574680844,2016680.327284016,1.7526031718589365,2016680.328353461,2016680.33856168,0.010208218824118376,8.418430377030745,12.446020535891876
4,3.8068920012873875,0.560379490542179,0.43962050945782105,2.1333042002305223,1.6735878010568652,747,2649,349,35,8,1.0,1.0,event,False,2016680.338631491,2016684.16420737,3.8255758790764958,2016680.338631491,2016682.472398074,2.1337665831670165,2016682.476674797,2016684.153030438,1.6763556411024183,2016684.153732263,2016684.16420737,0.010475107003003359,12.446090346900746,16.271666225977242
5,3.30629982521153,0.5525943722803434,0.44740562771965664,1.8270426764833743,1.4792571487281556,692,2490,298,31,7,1.0,1.0,event,False,2016684.164286159,2016687.48530285,3.3210166909266263,2016684.164286159,2016685.991449372,1.8271632129326463,2016685.994436541,2016687.474477654,1.4800411129835993,2016687.475231938,2016687.48530285,0.010070911841467023,16.271745014935732,19.592761705862358
6,2.449565839290541,0.5371734150042241,0.4628265849957759,1.3158416471693883,1.1337241921211525,587,2180,254,24,6,1.0,1.0,event,False,2016687.485372955,2016689.950048614,2.4646756590809673,2016687.485372955,2016688.801359565,1.3159866100177169,2016688.80442338,2016689.939039101,1.1346157209482044,2016689.939725203,2016689.950048614,0.010323411086574197,19.59283181093633,22.0575074700173
7,2.8179937257741066,0.605603138949892,0.39439686105010796,1.7065858458699001,1.1114078799042064,668,2159,110,23,5,1.0,1.0,event,False,2016689.950115968,2016692.795021335,2.84490536688827,2016689.950115968,2016691.657451342,1.7073353740852326,2016691.669829657,2016692.784220821,1.1143911639228463,2016692.784960227,2016692.795021335,0.010061107808724046,22.057574823964387,24.902480190852657
8,2.736352883944966,0.5423261409952884,0.4576738590047116,1.4839956999512016,1.2523571839937642,623,2291,217,26,6,1.0,1.0,event,False,2016692.79511459,2016695.551741708,2.7566271179821342,2016692.79511459,2016694.282216822,1.4871022319421172,2016694.286938562,2016695.540714724,1.2537761619314551,2016695.541459172,2016695.551741708,0.010282536037266254,24.9025734460447,27.659200564026833
9,3.2896122268272086,0.47327329227603104,0.526726707723969,1.556885608901999,1.7327266179252099,638,2695,407,36,9,1.0,1.0,event,False,2016695.551812236,2016698.887795757,3.335983521072194,2016695.551812236,2016697.108835301,1.5570230649318546,2016697.141568538,2016698.876910049,1.7353415109682828,2016698.877587548,2016698.887795757,0.010208209045231342,27.659271091921255,30.99525461299345
